web-scraper-order,web-scraper-start-url,cookies,cookies-href,brownies,brownies-href,recipe_link,recipe_link-href,ingredients,prep_time,cook_time,total_time,instructions,nutrition_facts,name,ratings,reviews,choco,choco-href
"1519428282-15511","http://allrecipes.com/recipes/79/desserts/","Cookies","http://allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Brownies","http://allrecipes.com/recipes/838/desserts/cookies/brownies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","http://allrecipes.com/recipe/211165/pumpkin-brownies/?internalSource=hub%20recipe&referringId=1562&referringContentType=recipe%20hub","","20 m","40 m","1 h","Spread 1/2 of the chocolate batter into the bottom of the prepared baking pan, and follow with 1/2 of the pumpkin batter. Repeat the layers, ending with a pumpkin layer, and drag a kitchen knife or small spatula gently through the layers in a swirling motion, to create a marbled appearance.","","Pumpkin Brownies","","390","Chocolate Brownies","http://allrecipes.com/recipes/1562/desserts/cookies/brownies/chocolate-brownies/?internalSource=hub%20nav&referringId=838&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202"
"1519428282-15498","http://allrecipes.com/recipes/79/desserts/","Cookies","http://allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Brownies","http://allrecipes.com/recipes/838/desserts/cookies/brownies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","http://allrecipes.com/recipe/211165/pumpkin-brownies/?internalSource=hub%20recipe&referringId=1562&referringContentType=recipe%20hub","2 teaspoons vanilla extract","20 m","40 m","1 h","","","Pumpkin Brownies","","390","Chocolate Brownies","http://allrecipes.com/recipes/1562/desserts/cookies/brownies/chocolate-brownies/?internalSource=hub%20nav&referringId=838&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202"
"1519428282-15509","http://allrecipes.com/recipes/79/desserts/","Cookies","http://allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Brownies","http://allrecipes.com/recipes/838/desserts/cookies/brownies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","http://allrecipes.com/recipe/211165/pumpkin-brownies/?internalSource=hub%20recipe&referringId=1562&referringContentType=recipe%20hub","","20 m","40 m","1 h","In another bowl, stir together the melted butter, sugar, and vanilla extract; beat in the eggs one at a time with a spoon. Gradually add the flour mixture, and stir the batter until it's evenly moistened. Divide the batter in half in two separate bowls.","","Pumpkin Brownies","","390","Chocolate Brownies","http://allrecipes.com/recipes/1562/desserts/cookies/brownies/chocolate-brownies/?internalSource=hub%20nav&referringId=838&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202"
"1519428317-15812","http://allrecipes.com/recipes/79/desserts/","Cookies","http://allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Brownies","http://allrecipes.com/recipes/838/desserts/cookies/brownies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","http://allrecipes.com/recipe/163229/scrumptious-frosted-fudgy-brownies/?internalSource=staff%20pick&referringId=1562&referringContentType=recipe%20hub","5 (1 ounce) squares unsweetened baking chocolate","20 m","40 m","1 h","","","Scrumptious Frosted Fudgy Brownies","","153","Chocolate Brownies","http://allrecipes.com/recipes/1562/desserts/cookies/brownies/chocolate-brownies/?internalSource=hub%20nav&referringId=838&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202"
"1519428289-15568","http://allrecipes.com/recipes/79/desserts/","Cookies","http://allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Brownies","http://allrecipes.com/recipes/838/desserts/cookies/brownies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","http://allrecipes.com/recipe/11306/chewiest-brownies/?internalSource=hub%20recipe&referringId=1562&referringContentType=recipe%20hub","","null","null","null","","Per Serving: 
            139 calories;
                    4.8 g fat;
                    24.3 g carbohydrates;
                    1.8 g protein;
                    26 mg cholesterol;
                    58 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Chewiest Brownies","40","558","Chocolate Brownies","http://allrecipes.com/recipes/1562/desserts/cookies/brownies/chocolate-brownies/?internalSource=hub%20nav&referringId=838&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202"
"1519428326-15900","http://allrecipes.com/recipes/79/desserts/","Cookies","http://allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Brownies","http://allrecipes.com/recipes/838/desserts/cookies/brownies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","http://allrecipes.com/recipe/19877/fancy-brownies/?internalSource=staff%20pick&referringId=1562&referringContentType=recipe%20hub","","15 m","30 m","45 m","","","Fancy Brownies","45","66","Chocolate Brownies","http://allrecipes.com/recipes/1562/desserts/cookies/brownies/chocolate-brownies/?internalSource=hub%20nav&referringId=838&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202"
"1519428333-15947","http://allrecipes.com/recipes/79/desserts/","Cookies","http://allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Brownies","http://allrecipes.com/recipes/838/desserts/cookies/brownies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","http://allrecipes.com/recipe/9599/quick-and-easy-brownies/?internalSource=rotd&referringId=1562&referringContentType=recipe%20hub","1 1/2 cups all-purpose flour","null","null","null","","","Quick and Easy Brownies","","1609","Chocolate Brownies","http://allrecipes.com/recipes/1562/desserts/cookies/brownies/chocolate-brownies/?internalSource=hub%20nav&referringId=838&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202"
"1519428313-15754","http://allrecipes.com/recipes/79/desserts/","Cookies","http://allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Brownies","http://allrecipes.com/recipes/838/desserts/cookies/brownies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","http://allrecipes.com/recipe/10549/best-brownies/?internalSource=hub%20recipe&referringId=1562&referringContentType=recipe%20hub","1 teaspoon vanilla extract","25 m","35 m","1 h","","Per Serving: 
            183 calories;
                    9 g fat;
                    25.7 g carbohydrates;
                    1.8 g protein;
                    44 mg cholesterol;
                    110 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Best Brownies","","10303","Chocolate Brownies","http://allrecipes.com/recipes/1562/desserts/cookies/brownies/chocolate-brownies/?internalSource=hub%20nav&referringId=838&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202"
"1519428328-15917","http://allrecipes.com/recipes/79/desserts/","Cookies","http://allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Brownies","http://allrecipes.com/recipes/838/desserts/cookies/brownies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","http://allrecipes.com/recipe/15095/coffee-liqueur-brownies/?internalSource=staff%20pick&referringId=1562&referringContentType=recipe%20hub","","null","null","null","Preheat oven to 350 degrees F (175 degrees C).","Per Serving: 
            188 calories;
                    8.9 g fat;
                    26.5 g carbohydrates;
                    2.1 g protein;
                    43 mg cholesterol;
                    49 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Coffee Liqueur Brownies","","30","Chocolate Brownies","http://allrecipes.com/recipes/1562/desserts/cookies/brownies/chocolate-brownies/?internalSource=hub%20nav&referringId=838&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202"
"1519428297-15638","http://allrecipes.com/recipes/79/desserts/","Cookies","http://allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Brownies","http://allrecipes.com/recipes/838/desserts/cookies/brownies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","http://allrecipes.com/recipe/9910/one-bowl-brownies/?internalSource=hub%20recipe&referringId=1562&referringContentType=recipe%20hub","","null","null","null","","","One Bowl Brownies","42","937","Chocolate Brownies","http://allrecipes.com/recipes/1562/desserts/cookies/brownies/chocolate-brownies/?internalSource=hub%20nav&referringId=838&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202"
